pair_id,targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,response,response_type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
85,0.517,31,1.017,61,0.517,31,1.017,61,2,similarity,0,0,0,84,1,0.25,0.25,0.5,0.5,#007b75,#db8b08,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
37,0.5,30,1.016,61,0.5,30,1.016,61,3,similarity,0,1,1,36,1,0.25,0.25,0.5,0.5,#c13547,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
32,0.5,30,1.001,60,0.5,30,1.001,60,5,similarity,0,2,2,31,1,0.25,0.25,0.5,0.5,#c13547,#753a7a,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
41,0.5,30,1,60,0.5,30,1,60,4,similarity,0,3,3,40,1,0.25,0.25,0.5,0.5,#a03663,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
29,0.516,31,1.001,60,0.516,31,1.001,60,2,similarity,0,4,4,28,1,0.25,0.25,0.5,0.5,#c7512c,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
7,0.503,30,1.004,60,0.503,30,1.004,60,0,similarity,0,5,5,6,1,0.25,0.25,0.5,0.5,#d2b700,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
97,0.503,30,1.002,60,0.503,30,1.002,60,6,similarity,0,6,6,96,1,0.25,0.25,0.5,0.5,#a03663,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
11,0.5,30,1.001,60,0.5,30,1.001,60,7,similarity,0,7,7,10,1,0.25,0.25,0.5,0.5,#d2b700,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
127,0.501,30,1.001,60,0.501,30,1.001,60,7,similarity,0,8,8,126,1,0.25,0.25,0.5,0.5,#007b75,#006a8b,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
35,0.5,30,1.001,60,0.5,30,1.001,60,1,similarity,0,9,9,34,1,0.25,0.25,0.5,0.5,#c13547,#006a8b,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
128,0.501,30,1,60,0.501,30,1,60,6,similarity,0,10,10,127,1,0.25,0.25,0.5,0.5,#008a52,#006a8b,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
33,0.515,31,1.015,61,0.515,31,1.015,61,5,similarity,0,11,11,32,1,0.25,0.25,0.5,0.5,#c13547,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
94,0.5,30,1.002,60,0.5,30,1.002,60,1,similarity,0,12,12,93,1,0.25,0.25,0.5,0.5,#007b75,#c7512c,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
70,0.5,30,1.016,61,0.5,30,1.016,61,1,similarity,0,13,13,69,1,0.25,0.25,0.5,0.5,#a03663,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
122,0.502,29,1,59,0.502,29,1,59,2,similarity,0,14,14,121,1,0.25,0.25,0.5,0.5,#9aa400,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
110,0.516,31,1.01,60,0.516,31,1.01,60,2,similarity,0,15,15,109,1,0.25,0.25,0.5,0.5,#008a52,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
107,0.517,31,1.001,60,0.517,31,1.001,60,1,similarity,0,16,16,106,1,0.25,0.25,0.5,0.5,#005692,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
5,0.515,31,1.014,61,0.515,31,1.014,61,1,similarity,0,17,17,4,1,0.25,0.25,0.5,0.5,#d2b700,#753a7a,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
112,0.503,30,1.014,61,0.503,30,1.014,61,6,similarity,0,18,18,111,1,0.25,0.25,0.5,0.5,#4b488e,#753a7a,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
69,0.503,30,1.001,60,0.503,30,1.001,60,0,similarity,0,19,19,68,1,0.25,0.25,0.5,0.5,#c13547,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
88,0.5,30,1.002,60,0.5,30,1.002,60,6,similarity,0,20,20,87,1,0.25,0.25,0.5,0.5,#c13547,#c7512c,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
108,0.5,30,1.016,61,0.5,30,1.016,61,5,similarity,0,21,21,107,1,0.25,0.25,0.5,0.5,#006a8b,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
54,0.501,30,1.001,60,0.501,30,1.001,60,6,similarity,0,22,22,53,1,0.25,0.25,0.5,0.5,#4b488e,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
43,0.515,31,1.016,61,0.515,31,1.016,61,4,similarity,0,23,23,42,1,0.25,0.25,0.5,0.5,#a03663,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
49,0.5,30,1.001,60,0.5,30,1.001,60,5,similarity,0,24,24,48,1,0.25,0.25,0.5,0.5,#753a7a,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
58,0.5,30,1.002,60,0.5,30,1.002,60,6,similarity,0,25,25,57,1,0.25,0.25,0.5,0.5,#005692,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
66,0.515,31,1.026,61,0.515,31,1.026,61,5,similarity,0,26,26,65,1,0.25,0.25,0.5,0.5,#008a52,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
28,0.516,31,1.016,61,0.516,31,1.016,61,2,similarity,0,27,27,27,1,0.25,0.25,0.5,0.5,#c7512c,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
50,0.501,30,1,60,0.501,30,1,60,1,similarity,0,28,28,49,1,0.25,0.25,0.5,0.5,#753a7a,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
8,0.505,30,1.016,61,0.505,30,1.016,61,0,similarity,0,29,29,7,1,0.25,0.25,0.5,0.5,#d2b700,#006a8b,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
55,0.517,31,1.001,60,0.517,31,1.001,60,5,similarity,0,30,30,54,1,0.25,0.25,0.5,0.5,#4b488e,#008a52,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
83,0.515,31,1.016,61,0.515,31,1.016,61,0,similarity,0,31,31,82,1,0.25,0.25,0.5,0.5,#005692,#db8b08,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
124,0.502,30,1.002,60,0.502,30,1.002,60,7,similarity,0,32,32,123,1,0.25,0.25,0.5,0.5,#007b75,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
25,0.516,31,1.015,61,0.516,31,1.015,61,0,similarity,0,33,33,24,1,0.25,0.25,0.5,0.5,#c7512c,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
86,0.515,31,1.015,61,0.515,31,1.015,61,2,similarity,0,34,34,85,1,0.25,0.25,0.5,0.5,#008a52,#db8b08,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
81,0.515,31,1.013,61,0.515,31,1.013,61,0,similarity,0,35,35,80,1,0.25,0.25,0.5,0.5,#753a7a,#db8b08,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
118,0.516,31,1,60,0.516,31,1,60,7,similarity,0,36,36,117,1,0.25,0.25,0.5,0.5,#005692,#4b488e,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
75,0.516,31,1.001,60,0.516,31,1.001,60,1,similarity,0,37,37,74,1,0.25,0.25,0.5,0.5,#007b75,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
