targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,target_preference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial_id,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
2.015,121,2.515,151,2.015,121,2.515,151,6,0,0,0,60,1,61,0.5,1,2,0.5,#006a8b,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.5,150,2,120,2.5,150,2,0,1,1,37,1,38,0.5,1,2,0.5,#c13547,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.515,151,2.017,121,2.515,151,2,0,2,2,45,1,46,0.5,1,2,0.5,#753a7a,#4b488e,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.514,151,2.001,120,2.514,151,4,0,3,3,35,1,36,0.5,1,2,0.5,#c13547,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.002,120,2.501,150,2.002,120,2.501,150,2,0,4,4,55,1,56,0.5,1,2,0.5,#4b488e,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.516,151,2.017,121,2.516,151,5,0,5,5,61,1,62,0.5,1,2,0.5,#006a8b,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.5,150,2.001,120,2.5,150,5,0,6,6,11,1,12,0.5,1,2,0.5,#db8b08,#c7512c,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.5,150,2,120,2.5,150,2,0,7,7,4,1,5,0.5,1,2,0.5,#d2b700,#753a7a,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.004,120,2.503,150,2.004,120,2.503,150,2,0,8,8,29,1,30,0.5,1,2,0.5,#c7512c,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.014,121,2.513,151,2.014,121,2.513,151,5,0,9,9,58,1,59,0.5,1,2,0.5,#005692,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.003,120,2.502,150,2.003,120,2.502,150,4,0,10,10,15,1,16,0.5,1,2,0.5,#db8b08,#4b488e,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,116,2.516,143,2.015,116,2.516,143,2,0,11,11,17,1,18,0.5,1,2,0.5,#db8b08,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.002,120,2.517,151,2.002,120,2.517,151,4,0,12,12,63,1,64,0.5,1,2,0.5,#007b75,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.016,121,2.513,151,2.016,121,2.513,151,2,0,13,13,51,1,52,0.5,1,2,0.5,#4b488e,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.502,150,2,120,2.502,150,4,0,14,14,54,1,55,0.5,1,2,0.5,#4b488e,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.502,150,2.001,120,2.502,150,2,0,15,15,41,1,42,0.5,1,2,0.5,#a03663,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.502,150,2,120,2.502,150,1,0,16,16,46,1,47,0.5,1,2,0.5,#753a7a,#005692,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.501,150,2.015,121,2.501,150,2,0,17,17,64,1,65,0.5,1,2,0.5,#007b75,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.517,151,2,120,2.517,151,5,0,18,18,24,1,25,0.5,1,2,0.5,#c7512c,#4b488e,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.502,150,2.001,120,2.502,150,5,0,19,19,27,1,28,0.5,1,2,0.5,#c7512c,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.001,120,2.5,150,2.001,120,2.5,150,1,0,20,20,49,1,50,0.5,1,2,0.5,#753a7a,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
